City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nizhneyansk,71.4404,136.1306,-45.81,100,65,4.36,ru,1675826744
1,bredasdorp,-34.5331,20.0428,64.87,81,8,6.6,za,1675826744
2,cabo san lucas,22.8939,-109.9201,69.31,59,75,0.0,mx,1675826469
3,mataura,-46.1927,168.8643,52.48,51,64,11.68,nz,1675826745
4,yeppoon,-23.1348,150.7437,84.22,65,96,21.47,au,1675826745
5,klaksvik,62.2266,-6.5853,46.04,83,100,56.44,fo,1675826745
6,victoria,48.4283,-123.365,44.83,86,75,11.5,ca,1675826745
7,uzgen,40.7708,73.2978,30.51,45,47,7.2,kg,1675826746
8,vaitape,-16.5065,-151.7514,81.01,72,25,12.19,fr,1675826746
9,hermanus,-34.4175,19.2361,65.84,83,0,11.88,za,1675826746
10,ballari,15.1434,76.9194,76.68,47,39,4.85,in,1675826746
11,vieux-habitants,16.0593,-61.7637,72.97,80,18,11.3,fr,1675826747
12,wanning,18.7961,110.3873,77.36,77,30,8.25,cn,1675826747
13,saquena,-4.7736,-73.3873,71.22,97,10,1.68,pe,1675826747
14,thule,77.4686,-69.2223,-26.3,69,6,5.66,gl,1675826748
15,hobart,-42.8825,147.3281,61.02,69,75,13.8,au,1675826506
16,iqaluit,63.7494,-68.5219,-27.45,75,40,5.75,ca,1675826748
17,katobu,-4.9408,122.5276,87.33,57,71,6.89,id,1675826748
18,atuona,-9.8037,-139.0426,79.84,75,24,16.6,fr,1675826748
19,east london,-33.0192,27.8999,69.15,94,100,8.05,za,1675826749
20,rikitea,-23.123,-134.968,79.84,69,37,9.04,fr,1675826749
21,puerto ayora,-0.7472,-90.3134,80.2,92,55,5.01,ec,1675826749
22,buenos aires,-34.6076,-58.4371,82.98,63,0,10.36,ar,1675826749
23,chuy,-33.6938,-53.4561,69.66,82,19,6.89,uy,1675826750
24,busselton,-33.6445,115.3489,78.98,44,0,1.52,au,1675826750
25,termes,43.0004,2.5621,36.63,83,96,7.85,fr,1675826750
